Number of nodes 22 :
     0 : 0.0000 0.0000 0.0000
     1 : 5000.0 0.0000 0.0000   
     2 : 0.0000 5000.0 0.0000
     3 : 5000.0 5000.0 0.0000
     4 : 52.40777928000 52.40777928000 1000.0
     5 : 4947.592220720 52.40777928000 1000.0
     6 : 52.40000000000 4947.592220720 1000.0
     7 : 4947.592220720 4947.592220720 1000.0
     8 : 471.6700135000 471.6700135000 9000.0
     9 : 4528.329986500 471.6700135000 9000.0
    10 : 471.6700135000 4528.329986500 9000.0
    11 : 4528.329986500 4528.329986500 9000.0
    12 : 890.9322478000 890.9322478000 17000
    13 : 4109.067752200 890.9322478000 17000
    14 : 890.9322478000 4109.067752200 17000
    15 : 4109.067752200 4109.067752200 17000
    16 : 1310.194482000 1310.194482000 25000
    17 : 3689.805518000 1310.194482000 25000
    18 : 1310.194482000 3689.805518000 25000
    19 : 3689.805518000 3689.805518000 25000
    20 : 2500.0 2500.0 25000
    21 : 2500.0 2500.0 80000
Number of elements :
     0 :  0   4
     1 :  1   5
     2 :  2   6
     3 :  3   7
     4 :  4   5
     5 :  4   6
     6 :  6   7
     7 :  7   5
     8 :  4   8
     9 :  5   9
    10 :  6  10
    11 :  7  11
    12 :  8   9
    13 :  8  10
    14 : 10  11
    15 : 11   9
    16 :  6   8
    17 :  6  11
    18 :  5   8
    19 :  5  11
    20 :  8  12
    21 :  9  13
    22 : 10  14
    23 : 11  15
    24 : 12  13
    25 : 12  14
    26 : 14  15
    27 : 15  13
    28 :  8  13
    29 :  8  14 
    30 : 11  14
    31 : 11  13
    32 : 12  16
    33 : 13  17
    34 : 14  18 
    35 : 15  19
    36 : 16  17
    37 : 16  18
    38 : 18  19 
    39 : 19  17
    40 : 13  16
    41 : 13  19
    42 : 14  16
    43 : 14  19
    44 : 16  20
    45 : 17  20
    46 : 18  20
    47 : 19  20
    48 : 20  21
